Data Set 1:Time(s),Data Set 1:Force G(N),Data Set 2:Time(s),Data Set 2:Force G(N),Data Set 3:Time(s),Data Set 3:Force G(N),Data Set 4:Time(s),Data Set 4:Force G(N),Data Set 5:Time(s),Data Set 5:Force G(N),,,
,,,,4.38,0.797607422,4.38,-0.024925232,4.38,-0.016616821,,,
,,,,4.4,0.789299011,4.4,-0.016616821,4.4,-0.018699646,,,
,,,,4.42,0.766448975,4.42,-0.016616821,4.42,-0.016616821,,,
,,,,4.44,0.787216187,4.44,-0.018699646,4.44,-0.014541626,,,
,,,,4.46,0.810066223,4.46,-0.016616821,4.46,-0.012466431,,,
,,,,4.48,0.82875824,4.48,-0.018699646,4.48,-0.014541626,,,
,,,,4.5,0.84122467,4.5,-0.018699646,4.5,-0.018699646,,,
,,,,4.52,0.868225098,4.52,-0.022850037,4.52,-0.016616821,,,
,,,,4.54,0.907691956,4.54,-0.020774841,4.54,-0.018699646,,,
,,,,4.56,0.911842346,4.56,-0.022850037,4.56,-0.014541626,,,
,,,,4.58,0.886917114,4.58,-0.020774841,4.58,-0.018699646,,,
,,,,4.6,0.882766724,4.6,-0.016616821,4.6,-0.012466431,,,
,,,,4.62,0.888999939,4.62,-0.012466431,4.62,-0.012466431,,,
,,,,4.64,0.891075134,4.64,-0.016616821,4.64,-0.016616821,,,
,,,,4.66,0.874458313,4.66,-0.014541626,4.66,-0.010391235,,,
,,,,4.68,0.830841064,4.68,-0.018699646,4.68,-0.014541626,,,
,,,,4.7,0.805915833,4.7,-0.027008057,4.7,-0.012466431,,,
,,,,4.72,0.814224243,4.72,-0.018699646,4.72,-0.016616821,,,
,,,,4.74,0.824607849,4.74,-0.012466431,4.74,-0.018699646,,,
,,,,4.76,0.816299438,4.76,-0.008308411,4.76,-0.022850037,,,
,,,,4.78,0.76852417,4.78,-0.006233215,4.78,-0.016616821,,,
,,,,4.8,0.731140137,4.8,-0.00415802,4.8,-0.014541626,,,
