Time,S1_Pre,S1_T1,S1_T2,S1_T3,S1_T4,S1_T5,S1_T5_2
4.7,0.778915405,-0.024925232,0.002075195,0.432037354,-0.0311584,-0.037391663,0.103858948
4.72,0.756065369,-0.027000427,0.004150391,0.411270142,-0.0311584,-0.037391663,0.110084534
4.74,0.749832153,-0.024925232,0.008308411,0.405036926,-0.0373917,-0.035316467,0.153709412
4.76,0.783065796,-0.035308838,0.004150391,0.434120178,-0.0394669,-0.037391663,0.195251465
4.78,0.830841064,-0.029075623,0.006225586,0.479812622,-0.0373917,-0.035316467,0.213943481
4.8,0.876541138,-0.027000427,0.002075195,0.490196228,-0.0290833,-0.043624878,0.253410339
4.82,0.907691956,-0.027000427,0.002075195,0.450737,-0.0311584,-0.037391663,0.301177979
4.84,0.920158386,-0.027000427,5.55E-17,0.436195374,-0.0290833,-0.041542053,0.344802856
4.86,0.866149902,-0.024925232,0.006225586,0.456962585,-0.0270004,-0.041542053,0.369728088
4.88,0.810073853,-0.033233643,0.004150391,0.51927948,-0.0249252,-0.033233643,0.384262085
4.9,0.733215332,-0.029075623,0.004150391,0.564971924,-0.02285,-0.039466858,0.3904953
4.92,0.631439209,-0.027000427,5.55E-17,0.606513977,-0.0311584,-0.043624878,0.402961731
4.94,0.591972351,-0.024925232,5.55E-17,0.656364441,-0.0270004,-0.033233643,0.411270142
4.96,0.594055176,-0.029075623,-0.00415802,0.706214905,-0.0332336,-0.043624878,0.400878906
4.98,0.616897583,-0.031158447,0.002075195,0.751914978,-0.0249252,-0.033233643,0.384262085
5,0.64805603,-0.027000427,0.004150391,0.791381836,-0.0290833,-0.041542053,0.361419678
5.02,0.681289673,-0.027000427,0.002075195,0.818382263,-0.0249252,-0.041542053,0.346878052
5.04,0.7082901,-0.031158447,-0.002082825,0.834999084,-0.0290833,-0.037391663,0.373878479
5.06,0.729064941,-0.029075623,5.55E-17,0.830841064,-0.0249252,-0.043624878,0.3904953
5.08,0.724906921,-0.020767212,0.006225586,0.822532654,-0.0270004,-0.039466858,0.400878906
5.1,0.722831726,-0.018692017,5.55E-17,0.812149048,-0.0166168,-0.037391663,0.398803711
5.12,0.722831726,-0.029075623,0.008308411,0.816307068,-0.0124664,-0.037391663,0.400878906
5.14,0.726989746,-0.024925232,0.002075195,0.820457458,-0.0062332,-0.043624878,0.411270142
5.16,0.722831726,-0.033233643,0.002075195,0.83707428,-0.0207748,-0.043624878,0.413345337
5.18,0.726989746,-0.027000427,5.55E-17,0.864074707,-0.0166168,-0.047775269,0.407112122
5.2,0.726989746,-0.027000427,0.002075195,0.895233154,-0.0249252,-0.039466858,0.388420105
5.22,0.704139709,-0.035308838,0.006225586,0.918083191,-0.0270004,-0.043624878,0.369728088
