Time,S4_Pre,S4_T1_V2,S4_T2,S4_T3,S4_T4,S4_T5
4.94,-0.027000427,-0.004150391,,-0.024925232,0.006233215,
4.96,-0.020774841,0,,-0.020767212,0.006233215,
4.98,-0.020774841,0.010383606,,-0.024925232,-0.004150391,
5,-0.016616821,0.008308411,,-0.022842407,-0.002075195,
5.02,-0.018692017,,,,0.008308411,
5.04,-0.024925232,,,,0,
5.06,-0.027000427,,,,0.00415802,
5.08,-0.029083252,,,,0.012466431,
5.1,-0.035308838,,,,0.012466431,
5.12,-0.027000427,,,,0.006233215,
5.14,-0.037391663,,,,0.006233215,
5.16,-0.033233643,,,,0.00415802,
5.18,-0.037391663,,,,0.002082825,
5.2,-0.039466858,,,,0.00415802,
5.22,-0.035308838,,,,0.016616821,
5.24,-0.037391663,,,,0.010391235,
5.26,-0.041542053,,,,0.00415802,
5.28,-0.037391663,,,,0.006233215,
5.3,,,,,0.008308411,
5.32,,,,,0.014541626,
5.34,,,,,0.010391235,
5.36,,,,,0.010391235,
5.38,,,,,0.006233215,
5.4,,,,,0.010391235,
5.42,,,,,0.002082825,
5.44,,,,,0.002082825,
5.46,,,,,0.008308411,
5.48,,,,,0.008308411,
5.5,,,,,0.00415802,
5.52,,,,,0.002082825,
5.54,,,,,0.008308411,
5.56,,,,,0.006233215,
5.58,,,,,0.010391235,
5.6,,,,,0.00415802,
5.62,,,,,0.010391235,
5.64,,,,,0.008308411,
5.66,,,,,0.008308411,
5.68,,,,,0.012466431,
5.7,,,,,0.006233215,
5.72,,,,,0.00415802,
5.74,,,,,0.008308411,
5.76,,,,,0.008308411,
5.78,,,,,0.00415802,
5.8,,,,,0.002082825,
5.82,,,,,0.006233215,
5.84,,,,,0.00415802,
5.86,,,,,0.00415802,
5.88,,,,,0.006233215,
5.9,,,,,0.008308411,
5.92,,,,,0.008308411,
5.94,,,,,0.00415802,
5.96,,,,,0.00415802,
5.98,,,,,0.012466431,
6,,,,,0.010391235,
6.02,,,,,0.002082825,
6.04,,,,,0.008308411,
6.06,,,,,0.008308411,
6.08,,,,,0.00415802,
6.1,,,,,0.00415802,
6.12,,,,,0.008308411,
6.14,,,,,0.00415802,
6.16,,,,,0.008308411,
6.18,,,,,0.014541626,
6.2,,,,,0.010391235,
6.22,,,,,0.008308411,
6.24,,,,,0.00415802,
6.26,,,,,0.006233215,
6.28,,,,,0.014541626,
6.3,,,,,0.006233215,
6.32,,,,,-0.002075195,
6.34,,,,,-0.002075195,
6.36,,,,,0.00415802,
6.38,,,,,0.00415802,
6.4,,,,,0.010391235,
6.42,,,,,0.00415802,
6.44,,,,,0.006233215,
6.46,,,,,0.010391235,
6.48,,,,,0.010391235,
6.5,,,,,0.006233215,
6.52,,,,,0.008308411,
6.54,,,,,0,
6.56,,,,,0,
6.58,,,,,0.006233215,
6.6,,,,,-0.002075195,
6.62,,,,,0.008308411,
6.64,,,,,0.008308411,
6.66,,,,,0.00415802,
6.68,,,,,0.006233215,
6.7,,,,,0.008308411,
6.72,,,,,0.00415802,
6.74,,,,,0.008308411,
6.76,,,,,0.012466431,
6.78,,,,,0.008308411,
6.8,,,,,0.002082825,
6.82,,,,,0.010391235,
6.84,,,,,0.002082825,
6.86,,,,,0.00415802,
6.88,,,,,0,
6.9,,,,,0.002082825,
6.92,,,,,0.010391235,
6.94,,,,,0.008308411,
6.96,,,,,0.008308411,
6.98,,,,,0.012466431,
7,,,,,0.006233215,
7.02,,,,,0.008308411,
7.04,,,,,0.006233215,
7.06,,,,,0.00415802,
7.08,,,,,0.008308411,
7.1,,,,,0.002082825,
7.12,,,,,0.00415802,
7.14,,,,,0.002082825,
7.16,,,,,0.010391235,
7.18,,,,,0.012466431,
7.2,,,,,0.012466431,
7.22,,,,,0.006233215,
7.24,,,,,0.008308411,
7.26,,,,,0.006233215,
7.28,,,,,0.010391235,
7.3,,,,,0.010391235,
7.32,,,,,0.002082825,
7.34,,,,,0.00415802,
7.36,,,,,0.00415802,
7.38,,,,,0.006233215,
7.4,,,,,0.008308411,
7.42,,,,,-0.002075195,
7.44,,,,,0.014541626,
7.46,,,,,0.008308411,
7.48,,,,,0.008308411,
7.5,,,,,0.002082825,
7.52,,,,,-0.002075195,
7.54,,,,,0.002082825,
7.56,,,,,0.010391235,
7.58,,,,,0.010391235,
7.6,,,,,0.008308411,
7.62,,,,,0.006233215,
7.64,,,,,0.008308411,
7.66,,,,,0.010391235,
7.68,,,,,0.012466431,
7.7,,,,,0.006233215,
7.72,,,,,0.016616821,
7.74,,,,,0.010391235,
7.76,,,,,0.008308411,
7.78,,,,,0.008308411,
7.8,,,,,0.014541626,
7.82,,,,,0.016616821,
7.84,,,,,0.010391235,
7.86,,,,,0.012466431,
7.88,,,,,0.008308411,
7.9,,,,,0.018699646,
7.92,,,,,0.012466431,
7.94,,,,,0.00415802,
7.96,,,,,0.00415802,
7.98,,,,,0.016616821,
8,,,,,0.008308411,
8.02,,,,,0.00415802,
8.04,,,,,0.008308411,
8.06,,,,,0.006233215,
8.08,,,,,0.010391235,
8.1,,,,,0.012466431,
8.12,,,,,0.006233215,
8.14,,,,,0.00415802,
8.16,,,,,0.006233215,
8.18,,,,,0.008308411,
8.2,,,,,0.008308411,
8.22,,,,,0.006233215,
8.24,,,,,0.008308411,
8.26,,,,,0.008308411,
8.28,,,,,0.008308411,
